Clave,Fecha, Almacenamiento(hmÂ³)
IRASO,2020-03-09,0.25
IRASO,2020-03-10,0.25
CHTSO,2020-03-10,11.94
ARLSO,2020-03-10,20.96
PMOSO,2020-03-10,28.92
ARCSO,2020-03-10,318.0
AGZCH,2020-03-10,77.82
AOBSO,2020-03-10,1323.91
PECSO,2020-03-10,2195.34
LCDSO,2020-03-10,729.98
LCDSO,2020-03-11,741.26
PECSO,2020-03-11,2201.02
AOBSO,2020-03-11,1313.41
AGZCH,2020-03-11,77.82
ARCSO,2020-03-11,320.08
PMOSO,2020-03-11,28.92
ARLSO,2020-03-11,20.66
CHTSO,2020-03-11,11.87
IRASO,2020-03-11,0.25
IRASO,2020-03-12,0.25
CHTSO,2020-03-12,11.84
ARLSO,2020-03-12,20.45
PMOSO,2020-03-12,28.99
ARCSO,2020-03-12,320.37
AGZCH,2020-03-12,77.82
AOBSO,2020-03-12,1302.91
PECSO,2020-03-12,2210.17
LCDSO,2020-03-12,745.15
LCDSO,2020-03-13,747.1
PECSO,2020-03-13,2222.28
AOBSO,2020-03-13,1302.91
AGZCH,2020-03-13,77.89
ARCSO,2020-03-13,319.78
PMOSO,2020-03-13,29.13
ARLSO,2020-03-13,20.55
CHTSO,2020-03-13,11.81
IRASO,2020-03-13,0.26
IRASO,2020-03-14,0.31
CHTSO,2020-03-14,11.81
ARLSO,2020-03-14,20.35
PMOSO,2020-03-14,29.13
ARCSO,2020-03-14,318.59
AGZCH,2020-03-14,77.89
AOBSO,2020-03-14,1298.71
PECSO,2020-03-14,2261.2
LCDSO,2020-03-14,764.14
LCDSO,2020-03-15,809.13
PECSO,2020-03-15,2312.72
AOBSO,2020-03-15,1294.51
AGZCH,2020-03-15,77.89
ARCSO,2020-03-15,318.0
PMOSO,2020-03-15,29.13
ARLSO,2020-03-15,19.94
CHTSO,2020-03-15,11.77
IRASO,2020-03-15,0.31
IRASO,2020-03-16,0.31
CHTSO,2020-03-16,11.74
ARLSO,2020-03-16,19.74
PMOSO,2020-03-16,29.13
ARCSO,2020-03-16,318.89
AGZCH,2020-03-16,77.82
AOBSO,2020-03-16,1286.11
PECSO,2020-03-16,2317.59
LCDSO,2020-03-16,812.03
LCDSO,2020-03-17,805.0
PECSO,2020-03-17,2345.88
AOBSO,2020-03-17,1273.51
AGZCH,2020-03-17,77.63
ARCSO,2020-03-17,318.59
PMOSO,2020-03-17,29.2
ARLSO,2020-03-17,19.44
CHTSO,2020-03-17,11.74
IRASO,2020-03-17,0.31
IRASO,2020-03-18,0.3
CHTSO,2020-03-18,11.71
ARLSO,2020-03-18,19.13
PMOSO,2020-03-18,29.27
ARCSO,2020-03-18,317.11
AGZCH,2020-03-18,77.44
AOBSO,2020-03-18,1264.06
PECSO,2020-03-18,2366.37
LCDSO,2020-03-18,795.89
LCDSO,2020-03-19,789.41
PECSO,2020-03-19,2394.78
AOBSO,2020-03-19,1256.71
AGZCH,2020-03-19,77.38
ARCSO,2020-03-19,316.22
PMOSO,2020-03-19,29.27
ARLSO,2020-03-19,18.93
CHTSO,2020-03-19,11.71
IRASO,2020-03-19,0.3
IRASO,2020-03-20,0.34
CHTSO,2020-03-20,11.71
ARLSO,2020-03-20,18.62
PMOSO,2020-03-20,29.42
ARCSO,2020-03-20,336.24
AGZCH,2020-03-20,77.25
AOBSO,2020-03-20,1254.61
PECSO,2020-03-20,2461.12
LCDSO,2020-03-20,810.38
LCDSO,2020-03-21,842.87
PECSO,2020-03-21,2519.13
AOBSO,2020-03-21,1249.36
AGZCH,2020-03-21,77.07
ARCSO,2020-03-21,348.49
PMOSO,2020-03-21,29.49
ARLSO,2020-03-21,18.42
CHTSO,2020-03-21,11.71
IRASO,2020-03-21,0.34
IRASO,2020-03-22,0.33
CHTSO,2020-03-22,11.71
ARLSO,2020-03-22,18.22
PMOSO,2020-03-22,29.49
ARCSO,2020-03-22,353.01
AGZCH,2020-03-22,76.94
AOBSO,2020-03-22,1244.11
PECSO,2020-03-22,2521.12
LCDSO,2020-03-22,835.2
LCDSO,2020-03-23,822.79
PECSO,2020-03-23,2605.28
AOBSO,2020-03-23,1238.86
AGZCH,2020-03-23,77.25
ARCSO,2020-03-23,354.62
PMOSO,2020-03-23,29.56
ARLSO,2020-03-23,18.11
CHTSO,2020-03-23,11.68
IRASO,2020-03-23,0.33
IRASO,2020-03-24,0.33
CHTSO,2020-03-24,11.65
ARLSO,2020-03-24,17.91
PMOSO,2020-03-24,29.63
ARCSO,2020-03-24,354.94
AGZCH,2020-03-24,77.25
AOBSO,2020-03-24,1233.61
PECSO,2020-03-24,2636.27
LCDSO,2020-03-24,810.37
LCDSO,2020-03-25,798.79
PECSO,2020-03-25,2659.52
AOBSO,2020-03-25,1228.65
AGZCH,2020-03-25,77.25
ARCSO,2020-03-25,354.94
PMOSO,2020-03-25,29.77
ARLSO,2020-03-25,17.71
CHTSO,2020-03-25,11.62
IRASO,2020-03-25,0.33
IRASO,2020-03-26,0.32
CHTSO,2020-03-26,11.59
ARLSO,2020-03-26,17.51
PMOSO,2020-03-26,29.84
ARCSO,2020-03-26,354.3
AGZCH,2020-03-26,77.13
AOBSO,2020-03-26,1221.7
PECSO,2020-03-26,2676.95
LCDSO,2020-03-26,788.61
LCDSO,2020-03-27,780.19
PECSO,2020-03-27,2692.45
AOBSO,2020-03-27,1221.7
AGZCH,2020-03-27,77.07
ARCSO,2020-03-27,353.65
PMOSO,2020-03-27,29.98
ARLSO,2020-03-27,17.3
CHTSO,2020-03-27,11.56
IRASO,2020-03-27,0.32
IRASO,2020-03-28,0.32
CHTSO,2020-03-28,11.53
ARLSO,2020-03-28,17.1
PMOSO,2020-03-28,30.06
ARCSO,2020-03-28,352.69
AGZCH,2020-03-28,76.81
AOBSO,2020-03-28,1215.75
PECSO,2020-03-28,2706.01
LCDSO,2020-03-28,773.77
LCDSO,2020-03-29,767.35
PECSO,2020-03-29,2715.7
AOBSO,2020-03-29,1209.8
AGZCH,2020-03-29,76.63
ARCSO,2020-03-29,351.4
PMOSO,2020-03-29,30.13
ARLSO,2020-03-29,16.9
CHTSO,2020-03-29,11.5
IRASO,2020-03-29,0.32
IRASO,2020-03-30,0.31
CHTSO,2020-03-30,11.44
ARLSO,2020-03-30,16.69
PMOSO,2020-03-30,30.06
ARCSO,2020-03-30,349.78
AGZCH,2020-03-30,76.37
AOBSO,2020-03-30,1198.88
PECSO,2020-03-30,2719.57
LCDSO,2020-03-30,762.53
LCDSO,2020-03-31,757.72
PECSO,2020-03-31,2724.42
AOBSO,2020-03-31,1192.92
AGZCH,2020-03-31,76.18
